state,TL,TC,TR,ML,MC,MR,BL,BC,BR
_+X+_+X+_+O+ + +O,0.0,0.0,0.0,0.0,0.0,0.2405618680595751,0.0,0.0,0.0
_+X+_+_+_+_+ +X+O,0.7212816870323662,0.0,0.7812208744391061,0.4873228992174194,0.8930497591132307,0.7613826009330993,0.6528074912247578,0.0,0.0
_+X+_+_+_+X+O+X+O,0.6734271000672494,0.0,0.5940202329416681,0.2299489701534549,0.8999999999999997,0.0,0.0,0.0,0.0
_+X+X+_+O+X+O+X+O,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+X+X+O+O+X+O+X+O,0.0,0.0,0.0,0.964815627911168,0.36000000000000004,0.0,0.2,0.0,0.0
_+X+_+_+O+X+O+X+O,0.0,0.0,0.0,0.0,0.6211914332090184,0.0,0.32669849302401033,0.0,0.0
_+X+_+_+_+_+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.689811230396626,0.0,0.3399072094090994
_+_+_+_+X+X+X+O+O,3.289624865281939e-07,0.0,0.2997693928135172,0.2755942201843207,0.0,0.0,0.0,0.0,0.0
_+X+_+O+X+X+X+O+O,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+O+X+X+X+O+O,0.0,0.0,0.0,0.5292815504815471,0.0,0.0,0.0,0.33635149942128645,0.0
X+_+_+_+_+_+ +X+O,0.0,0.4900302477654693,0.8226562120312568,0.437837714142932,0.6994284685491987,0.7244809090863209,0.5489890910271705,0.0,0.0
X+_+X+_+_+_+O+X+O,0.0,0.44999999999999984,0.0,0.2661102161852077,0.29218088701779554,0.20123891713968067,0.0,0.0,0.0
O+_+_+X+O+X+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+_+_+X+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009564480000000005,0.0
_+_+O+_+_+X+ + +X,0.8729635583464976,0.8191173756904006,0.0,0.6529600422623163,0.8316837518900135,0.0,0.7942160012171285,0.7791407414331522,0.0
_+_+O+_+X+X+ +O+X,0.549080708622501,0.3269339165557538,0.0,0.2370536704568957,0.0,0.0,0.000381925116403092,0.0,0.0
_+_+O+_+X+X+O+O+X,0.0,0.0,0.19600000000000006,0.0,0.0,0.0,0.2,0.0,0.0
_+_+O+_+_+X+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028800000000000006,0.0
_+_+O+_+_+_+ + +X,0.0,0.0,0.007307366400000003,0.0,0.0,0.0,0.0,0.0,0.0
X+X+_+_+_+O+O+X+ ,0.0,0.0,0.32321661606888985,0.0,0.7903303721484318,0.0,0.0,0.0,0.19955323675904724
X+X+_+_+_+O+O+X+O,0.0,0.0,0.0,0.0,0.0,0.8833976342727992,0.2,0.0,0.0
_+X+_+_+_+O+O+X+ ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+_+_+O+ +X+ ,0.0,0.0,0.0,0.0,0.0,0.05217184885948442,0.0,0.0,0.0
_+O+_+_+X+X+ + + ,0.3938721281995257,0.0,0.35492181400672423,0.4302432878312656,0.0,0.0,0.3622187201893944,0.11422417379881115,0.3280660696283928
_+O+_+_+X+X+ +X+O,0.30617363334479536,0.0,0.329289209193461,0.44999999999999984,0.0,0.0,0.3030262928791249,0.0,0.0
_+O+_+_+X+X+O+X+O,0.0,0.07112563200000001,0.0,0.0,0.0,0.0,0.04392000000000002,0.0,0.032400000000000005
_+O+_+_+_+X+ + + ,0.0,0.03537665997432424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+_+X+_+O+X+ ,0.3179628783872477,0.642802705598782,0.26734886294221466,0.3280450236120001,0.0,0.3241459317658054,0.0,0.0,0.3659255675780406
X+_+_+X+X+O+O+X+O,0.0,0.4999970769967255,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
X+_+O+X+X+O+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+_+X+_+O+ + ,0.0,0.0,0.0,0.0,0.0,0.0,0.14221668550288707,0.0,0.0
